timestamp,open,high,low,close,volume
2022-11-02,44.5700,47.3600,44.5400,45.1200,6873693
2022-11-01,46.5000,47.6000,44.5400,45.1000,9471707
2022-10-31,45.4200,45.6400,42.1800,43.5300,13377669
2022-10-28,45.3100,47.7100,44.5400,47.0600,6721133
2022-10-27,47.4100,48.3200,45.8600,46.3400,3611003
2022-10-26,46.8400,49.5150,46.3500,47.2300,3388413
2022-10-25,44.8700,47.6000,44.4400,47.4600,3317670
2022-10-24,44.6000,44.9600,41.3650,44.4300,4199741
2022-10-21,44.8600,45.3300,43.4200,45.2300,4633228
2022-10-20,46.1300,47.9300,45.3850,45.5300,4208523
2022-10-19,45.5000,46.3400,44.5600,45.7800,4134198
2022-10-18,47.4000,48.7600,45.8550,46.9000,4277539
2022-10-17,44.4300,46.7100,44.4300,45.7100,4325038
2022-10-14,47.0000,47.4000,43.0500,43.0600,4773459
2022-10-13,44.0000,47.3200,43.1100,45.9100,8569424
2022-10-12,44.8500,47.1700,44.3500,46.7200,5706588
2022-10-11,44.7500,46.7200,41.7700,44.8500,14080845
2022-10-10,49.6000,49.8000,46.5600,47.7100,4774249
2022-10-07,51.0900,51.3500,48.8600,49.3900,3503011
2022-10-06,53.2700,54.0600,51.7900,52.9900,2384451
2022-10-05,52.5000,53.7000,50.8100,52.9900,4652946
2022-10-04,52.4400,54.7300,52.1800,54.1600,4934259
2022-10-03,49.7300,51.3700,47.5200,50.5200,5868785
2022-09-30,49.4400,51.4350,49.3867,49.4500,3223163
2022-09-29,51.0700,51.5600,48.9400,49.8400,3112021
2022-09-28,51.2200,53.0400,51.0100,52.7000,2850786
2022-09-27,52.3400,53.1800,50.2001,51.1500,3112489
2022-09-26,51.5200,53.4300,50.4400,50.7300,4106572
2022-09-23,52.8200,53.5300,50.5400,52.0100,5105149
2022-09-22,56.7900,57.5100,53.7300,54.0000,4407349
2022-09-21,57.8000,60.3900,57.1000,57.1700,3133452
2022-09-20,58.2500,59.5400,57.5700,57.6600,5366649
2022-09-19,58.4500,59.3400,56.9137,58.8800,6236351
2022-09-16,61.6900,62.5600,59.1100,59.1300,11409291
2022-09-15,64.3300,68.1600,63.9500,64.4100,6780601
2022-09-14,61.5100,64.6500,61.3300,64.5300,6238522
2022-09-13,62.0560,63.0500,60.5200,62.0700,6081718
2022-09-12,64.7800,65.9600,63.8500,65.8700,5924669
