timestamp,open,high,low,close,volume
2022-08-12,4.4600,4.6000,4.4600,4.6000,9772
2022-08-11,4.5000,4.5000,4.3400,4.4300,9749
2022-08-10,4.2000,4.3200,4.1800,4.2800,32419
2022-08-09,4.1900,4.2000,4.1000,4.1000,17346
2022-08-08,3.9700,4.2000,3.9700,4.2000,27201
2022-08-05,4.0700,4.1084,3.9600,3.9600,20417
2022-08-04,4.1100,4.1324,4.0207,4.0700,20299
2022-08-03,4.0800,4.1307,3.9899,4.0800,6596
2022-08-02,4.2000,4.2000,4.0600,4.0700,11693
2022-08-01,4.2000,4.2200,4.0501,4.1850,21996
2022-07-29,4.0200,4.2000,3.9371,4.1500,32553
2022-07-28,4.1000,4.1000,3.9600,4.0500,35737
2022-07-27,3.8500,4.0000,3.8300,3.9100,20578
2022-07-26,4.0000,4.0300,3.7300,3.7300,12736
2022-07-25,3.9000,3.9285,3.8000,3.9100,12756
2022-07-22,3.9500,4.0612,3.7800,3.7800,6620
2022-07-21,4.0800,4.0800,3.8000,3.9500,24039
2022-07-20,3.8400,4.0400,3.7300,3.9600,8274
2022-07-19,3.9564,4.2085,3.7700,3.7700,24187
2022-07-18,3.6100,3.9944,3.5700,3.8500,33733
2022-07-15,3.6500,3.6500,3.5000,3.5700,25874
2022-07-14,3.6000,3.6500,3.5000,3.6000,32946
2022-07-13,3.7500,3.8103,3.6100,3.6800,28886
2022-07-12,3.9300,3.9400,3.6200,3.6900,29740
2022-07-11,4.0100,4.1666,3.7101,3.7600,67556
2022-07-08,4.1000,4.2282,4.0401,4.0700,11881
2022-07-07,4.0900,4.1250,4.0000,4.1000,23080
2022-07-06,4.2100,4.2100,4.0100,4.0500,19468
2022-07-05,4.2700,4.2700,3.9800,4.1400,23783
2022-07-01,4.1987,4.5313,4.0201,4.1400,95027
2022-06-30,4.2900,4.4162,4.1400,4.2000,14885
2022-06-29,4.4700,4.4700,4.2240,4.2900,13866
2022-06-28,4.4000,4.4507,4.2924,4.3600,10616
2022-06-27,4.5500,4.6500,4.3000,4.3800,37359
2022-06-24,3.8200,4.4300,3.8200,4.3600,130970
2022-06-23,4.1100,4.2001,3.7100,3.8000,120794
2022-06-22,4.2300,4.6191,4.0800,4.1200,21151
2022-06-21,4.4900,4.6703,4.3600,4.4000,14666
2022-06-17,4.6000,4.7000,4.4600,4.4600,35489
2022-06-16,4.7300,4.7500,4.5200,4.6300,46216
2022-06-15,4.4800,4.8485,4.4771,4.7400,19069
2022-06-14,4.7500,4.7500,4.4500,4.4600,17930
2022-06-13,4.9700,5.1300,4.4852,4.6100,22886
