timestamp,open,high,low,close,volume
2022-11-02,91.9800,92.4700,87.2400,87.5400,5296750
2022-11-01,96.1000,97.3481,90.9500,91.4300,3039761
2022-10-31,97.9950,100.0000,93.1700,93.9100,3152552
2022-10-28,95.9700,100.0000,94.3500,97.9100,4403307
2022-10-27,102.7500,103.7500,100.0000,100.9100,3098924
2022-10-26,101.3800,106.2000,100.0200,101.4000,2710711
2022-10-25,102.0900,104.4750,100.3100,103.2400,3227916
2022-10-24,100.3300,102.4600,96.7800,102.0700,2026811
2022-10-21,96.5800,101.1700,94.4000,100.9100,2844696
2022-10-20,93.8900,99.7500,93.7850,97.4400,2965743
2022-10-19,99.2200,99.2900,93.6118,94.3300,3191046
2022-10-18,102.7450,104.2800,100.0400,100.4800,3701135
2022-10-17,95.2200,98.8100,94.3600,98.1200,3108873
2022-10-14,98.5700,101.5200,92.1050,92.4500,3625146
2022-10-13,99.2800,99.8100,91.7001,96.3200,9547648
2022-10-12,106.7700,108.2500,102.8900,106.1600,2414767
2022-10-11,107.8700,109.6300,101.5100,105.6000,3383222
2022-10-10,111.2100,111.7900,106.7100,108.9700,3202334
2022-10-07,111.4800,112.7850,109.5700,110.4400,1980345
2022-10-06,112.8900,116.8005,112.7450,115.1100,2582589
2022-10-05,108.7700,113.5700,107.6400,112.3300,2710852
2022-10-04,108.5700,110.7700,107.3700,110.2000,3184941
2022-10-03,100.8100,106.0050,100.6600,104.9900,3057726
2022-09-30,100.0000,104.0300,99.1000,100.1300,2848440
2022-09-29,99.0710,102.1600,99.0000,101.5200,2947686
2022-09-28,96.3975,102.9600,96.3975,102.1500,2165247
2022-09-27,96.9000,98.5000,94.4800,96.7300,2658762
2022-09-26,96.0700,98.7700,94.1600,94.3000,2482054
2022-09-23,95.9250,97.8300,94.4000,96.4700,3332659
2022-09-22,102.8700,104.0000,96.8510,97.4900,3094191
2022-09-21,104.6500,109.0650,102.6800,104.0700,2065624
2022-09-20,110.1500,110.7100,103.8300,103.9700,2884553
2022-09-19,106.8600,111.9200,106.8100,111.7800,2870892
2022-09-16,109.2500,111.1500,106.3685,108.0300,4212389
2022-09-15,110.8600,114.0841,110.2300,112.3500,2383429
2022-09-14,107.9800,111.3650,105.5300,111.2300,2772866
2022-09-13,108.0150,108.4299,105.8300,107.0600,2566498
2022-09-12,111.0400,114.8000,110.8400,114.0800,2461810
2022-09-09,108.9500,111.7300,108.6500,110.4200,2402085
2022-09-08,105.0600,108.8700,104.6700,108.3000,1829642
2022-09-07,104.4400,107.9400,102.7500,107.3600,2316541
2022-09-06,105.6500,106.0900,100.9100,103.8600,2399683
2022-09-02,109.1900,109.3400,104.1500,105.7200,2638679
2022-09-01,103.0700,107.1900,100.8550,106.1300,2771664
2022-08-31,106.3500,108.5900,104.8600,105.6100,2059793
2022-08-30,106.4800,109.0000,102.7400,105.7800,2353576
2022-08-29,101.5800,106.8600,101.2300,104.5200,1850352
2022-08-26,109.5700,111.2400,103.5200,104.2500,2608482
2022-08-25,107.1200,108.6500,105.3131,108.3200,1618580
2022-08-24,105.2600,107.8100,104.2346,105.9000,2038513
2022-08-23,103.5000,105.8400,102.5600,103.7400,1802208
2022-08-22,104.4600,106.3700,102.5200,103.7400,2753340
2022-08-19,111.8000,112.4900,105.2800,107.0100,3813744
2022-08-18,116.8000,116.8400,112.9700,114.4500,2510100
2022-08-17,118.6200,119.0000,115.8100,116.9100,2659909
2022-08-16,117.9600,123.0300,116.2100,120.8600,3352440
2022-08-15,118.0050,119.6600,116.4961,117.6100,2554998
2022-08-12,116.8000,120.1900,115.8100,119.9100,2971251
2022-08-11,119.5700,120.6900,113.4900,114.6800,4170905
2022-08-10,114.0000,116.9400,112.9600,116.9000,3927239
2022-08-09,109.5000,111.1000,107.5101,108.8700,3221172
2022-08-08,109.3300,117.0600,109.3300,111.9800,3228156
2022-08-05,105.7300,111.9800,104.8200,109.3800,2511711
2022-08-04,109.1600,110.6900,107.3601,109.3300,2606883
2022-08-03,106.2500,109.7300,104.5600,108.5000,3402612
2022-08-02,101.7800,105.1500,101.3400,104.4400,2837039
2022-08-01,101.8500,106.8800,101.1200,103.6100,3296982
2022-07-29,104.1100,107.3900,102.0350,103.7200,4485511
2022-07-28,100.6700,106.6599,100.3000,104.9200,9963036
2022-07-27,96.6700,98.1200,93.5100,95.5000,7675953
2022-07-26,91.0500,94.2700,90.1650,93.3000,4816259
2022-07-25,96.2100,97.9200,93.6201,96.4700,4609015
2022-07-22,96.2400,102.1200,95.9400,97.1100,6949970
2022-07-21,92.5900,97.0300,91.2300,96.8700,4720367
2022-07-20,87.8800,93.0600,86.9200,92.6600,4274824
2022-07-19,86.1700,88.1350,83.9300,87.4400,2414805
2022-07-18,84.2500,88.1050,83.7900,84.7200,4293567
2022-07-15,80.1900,83.2100,78.3300,82.5000,4152712
2022-07-14,83.2900,83.5900,78.2400,79.7300,4338368
2022-07-13,83.2200,85.7800,81.5800,83.2100,4756234
2022-07-12,87.7600,89.6700,84.5625,85.5900,3038758
2022-07-11,87.1000,87.8000,84.1528,86.0700,2604450
2022-07-08,87.5700,90.6700,86.3800,88.7500,3050245
2022-07-07,85.0900,90.2100,84.3000,89.6500,4031651
2022-07-06,88.1000,91.5800,85.2100,85.9400,4285338
2022-07-05,79.0900,88.3700,77.5900,88.2400,6088066
2022-07-01,74.7300,80.7500,74.7000,79.8100,5654946
2022-06-30,74.5800,74.7800,70.4602,73.2100,3714162
2022-06-29,73.0800,75.4000,71.3000,74.8000,2682460
2022-06-28,79.1100,80.5000,73.9460,74.0400,3937281
2022-06-27,82.0800,84.1300,78.6500,80.6500,4921037
2022-06-24,80.0000,83.6500,79.6100,83.6200,3222744
2022-06-23,74.5000,79.6100,74.4750,78.7300,3363421
2022-06-22,70.7700,75.2900,70.5650,74.0900,2790341
2022-06-21,73.3350,75.8791,71.4498,71.8100,3267856
2022-06-17,69.5000,74.3199,69.4300,72.1100,7379442
2022-06-16,71.6150,71.8600,67.0100,69.0000,6016975
2022-06-15,72.5700,77.3300,72.0710,76.0500,3881030
2022-06-14,71.5700,73.8400,70.1100,71.6100,3426757
2022-06-13,72.1600,74.4000,69.7400,71.3700,4630546
